total_votes,weighted_average_vote,imdb_title_id,allgenders_18age_avg_vote,allgenders_30age_avg_vote,allgenders_45age_avg_vote,males_allages_avg_vote,females_allages_avg_vote,us_voters_votes,non_us_voters_votes
594,5.1,tt0100762,5.2,5.0,5.1,5.1,5.1,108.0,316.0
140,5.5,tt0100763,5.8,5.5,5.1,5.4,6.2,35.0,62.0
406,4.3,tt0100765,4.3,4.5,4.0,4.3,3.6,129.0,176.0
121,4.8,tt0100771,6.0,4.9,4.7,4.7,5.0,34.0,53.0
549,4.8,tt0100772,4.6,4.9,4.8,4.7,6.3,194.0,186.0
519,6.9,tt0100774,6.6,6.9,6.7,6.5,7.2,264.0,58.0
134,6.6,tt0100776,6.5,6.4,6.5,6.5,6.0,14.0,85.0
804,7.5,tt0100777,7.4,7.5,6.6,7.4,7.7,100.0,463.0
112,5.9,tt0100778,6.8,6.0,5.2,5.8,6.4,20.0,63.0
152,7.6,tt0100780,8.1,8.0,5.9,7.6,7.1,1.0,123.0
483,7.0,tt0100784,7.0,6.9,7.0,6.9,8.1,81.0,305.0
231,5.2,tt0100786,5.4,5.4,5.1,5.1,6.1,78.0,104.0
267,3.1,tt0100788,2.7,3.0,3.0,2.9,3.8,108.0,88.0
1551,7.3,tt0100791,7.6,7.3,7.1,7.2,8.1,715.0,415.0
282,6.1,tt0100793,6.6,6.0,6.0,6.1,6.0,11.0,193.0
153,5.6,tt0100800,7.8,5.6,5.8,5.6,5.7,59.0,54.0
283597,7.5,tt0100802,7.4,7.5,7.5,7.5,7.2,53931.0,135799.0
484,5.3,tt0100811,5.3,5.4,5.0,5.2,5.6,186.0,162.0
110642,7.1,tt0100814,7.1,7.1,7.1,7.1,7.0,27865.0,48709.0
1602,6.3,tt0100816,6.0,6.4,5.7,6.4,5.3,143.0,930.0
201,5.1,tt0100817,5.7,4.9,5.3,5.1,5.1,62.0,88.0
1646,6.2,tt0100822,6.4,5.9,6.3,6.0,6.5,458.0,712.0
178,3.6,tt0100826,3.1,3.7,3.8,3.7,2.9,89.0,49.0
5649,6.1,tt0100827,6.3,6.1,5.9,6.1,6.0,1463.0,2745.0
10260,6.2,tt0100828,6.4,6.2,6.2,6.2,6.1,2942.0,4538.0
744,6.5,tt0100835,6.8,6.5,6.0,6.5,6.5,10.0,518.0
158,5.7,tt0100840,,5.3,5.7,5.7,5.0,22.0,98.0
4451,7.3,tt0100842,7.5,7.3,7.3,7.3,7.6,1040.0,2223.0
140,6.7,tt0100847,7.0,7.0,6.3,6.7,6.2,7.0,111.0
1120,7.1,tt0100851,7.9,7.2,7.1,7.1,7.2,131.0,676.0
598,5.2,tt0100853,5.6,5.3,4.6,5.2,5.5,7.0,428.0
103,2.7,tt0100856,1.7,2.7,2.7,2.6,2.0,35.0,45.0
136,4.6,tt0100857,5.5,4.5,3.2,4.6,3.9,12.0,78.0
268,4.2,tt0100867,3.9,4.3,4.2,4.2,4.5,100.0,73.0
281,6.7,tt0100869,6.3,6.5,7.1,6.8,5.8,22.0,201.0
3442,6.9,tt0100873,7.0,6.9,6.9,6.8,7.1,1028.0,1465.0
645,5.5,tt0100879,4.4,5.4,5.7,5.5,5.3,291.0,173.0
862,5.1,tt0100881,5.4,5.1,4.9,5.0,5.6,170.0,464.0
207,2.9,tt0100888,1.7,3.0,2.7,2.9,1.9,65.0,85.0
116,6.0,tt0100893,5.5,6.2,5.6,5.9,5.5,3.0,81.0
568,5.4,tt0100895,5.9,5.5,4.4,5.4,5.3,5.0,434.0
394,6.0,tt0100899,6.0,5.9,6.1,5.9,6.7,139.0,145.0
376,6.2,tt0100902,6.6,6.2,5.6,6.2,6.4,33.0,221.0
877,4.0,tt0100904,4.0,4.1,3.7,4.0,4.2,343.0,325.0
130,6.1,tt0100910,5.0,6.2,5.9,6.1,5.6,16.0,91.0
4597,5.9,tt0100911,6.1,5.9,5.8,5.8,6.1,1484.0,1614.0
4941,6.7,tt0100912,6.5,6.8,6.1,6.8,5.9,159.0,3138.0
1418,6.1,tt0100924,6.7,6.1,5.9,5.9,6.9,499.0,512.0
460,4.4,tt0100926,4.0,4.4,4.4,4.4,4.1,116.0,230.0
10371,6.6,tt0100928,7.0,6.6,6.6,6.6,6.8,2135.0,5564.0
172,6.4,tt0100929,8.5,6.5,6.4,6.5,6.0,17.0,92.0
334,4.5,tt0100930,5.5,4.3,4.5,4.4,4.8,94.0,131.0
916,6.2,tt0100931,6.9,6.5,5.7,6.2,6.6,106.0,566.0
10665,4.6,tt0100934,4.7,4.7,4.4,4.5,5.1,2048.0,5560.0
76555,7.2,tt0100935,7.2,7.2,7.2,7.2,7.3,13611.0,40259.0
331,6.6,tt0100938,6.9,6.7,6.6,6.6,6.3,8.0,210.0
202,6.0,tt0100940,7.5,6.2,5.9,5.8,6.3,84.0,75.0
403,3.0,tt0100943,2.8,3.2,2.5,3.0,2.7,145.0,158.0
33291,6.8,tt0100944,6.8,6.9,6.6,6.7,7.1,7473.0,15415.0
448,6.6,tt0100946,6.4,6.6,6.4,6.5,6.2,217.0,89.0
469,6.3,tt0100959,6.3,6.4,6.0,6.3,6.4,45.0,280.0
3011,6.9,tt0100963,6.9,6.9,6.8,6.9,6.9,443.0,1636.0
762,7.0,tt0100967,7.6,7.1,6.0,7.0,5.6,131.0,438.0
169,5.3,tt0100970,5.1,5.5,4.5,5.3,6.0,14.0,106.0
1942,7.0,tt0100973,7.0,7.0,6.8,7.0,6.7,277.0,1149.0
160,6.6,tt0100974,6.4,6.5,6.5,6.5,5.6,22.0,104.0
1373,3.3,tt0100975,2.7,3.4,3.2,3.3,2.7,356.0,700.0
284,5.8,tt0100983,5.8,5.8,5.6,5.8,5.9,27.0,175.0
187,7.2,tt0100987,7.5,7.4,4.2,7.1,6.7,15.0,126.0
547,6.9,tt0100990,7.1,7.0,6.7,6.8,7.2,167.0,223.0
1072,5.9,tt0100991,6.0,5.9,5.7,5.9,6.0,153.0,618.0
29073,6.5,tt0100994,6.7,6.6,6.3,6.5,6.7,8410.0,11556.0
107,6.3,tt0100995,7.0,6.4,4.9,6.2,6.5,8.0,74.0
22157,7.8,tt0100998,7.9,7.7,7.6,7.7,8.0,4959.0,10854.0
115,6.4,tt0101002,6.4,6.6,5.7,6.3,7.3,18.0,71.0
736,7.6,tt0101003,7.6,7.7,7.5,7.6,7.9,104.0,438.0
3220,4.4,tt0101004,4.1,4.4,4.6,4.4,5.0,664.0,1711.0
162,6.6,tt0101009,6.9,6.8,5.4,6.5,8.1,33.0,97.0
109,5.7,tt0101011,5.1,5.8,5.9,5.8,5.6,7.0,75.0
120,5.3,tt0101016,4.5,5.1,5.8,5.2,7.5,20.0,72.0
176,5.9,tt0101019,9.5,6.2,5.8,5.9,6.5,8.0,115.0
5503,6.8,tt0101020,6.9,6.8,6.5,6.7,7.1,917.0,3051.0
2282,7.2,tt0101025,7.6,7.1,7.2,7.1,7.7,238.0,1383.0
22307,7.0,tt0101026,7.1,7.0,7.0,7.0,7.1,3470.0,12334.0
819,6.6,tt0101244,7.1,6.5,5.2,6.6,6.6,90.0,480.0
2386,7.3,tt0101252,7.5,7.3,7.1,7.2,7.2,768.0,965.0
359,2.2,tt0101255,2.0,2.2,2.2,2.2,2.1,89.0,177.0
1404,4.2,tt0101256,4.0,4.3,4.1,4.2,4.1,637.0,405.0
16141,7.6,tt0101258,7.7,7.5,7.3,7.5,7.5,2582.0,8870.0
115,6.3,tt0101263,6.3,6.3,6.4,6.4,4.9,23.0,65.0
1596,2.8,tt0101264,2.7,2.8,2.7,2.8,2.6,691.0,534.0
1984,5.8,tt0101268,6.2,5.8,5.6,5.7,5.8,702.0,729.0
120976,6.9,tt0101272,7.0,6.8,6.7,6.7,7.3,27677.0,53098.0
2949,6.7,tt0101273,6.9,6.7,6.5,6.7,6.9,599.0,1594.0
1027,5.8,tt0101276,5.7,5.9,5.7,5.6,6.3,377.0,386.0
2264,8.1,tt0101279,8.5,8.1,7.2,8.1,7.3,311.0,1077.0
300,6.6,tt0101281,6.5,6.7,6.6,6.5,6.8,8.0,208.0
1072,5.2,tt0101283,5.5,5.1,4.3,5.0,6.1,91.0,644.0
370,5.1,tt0101284,4.9,5.1,4.8,5.0,5.4,34.0,241.0
695,7.3,tt0101290,8.1,7.3,6.9,7.2,7.5,33.0,458.0
111,6.7,tt0101295,7.0,6.9,6.6,6.6,7.5,22.0,69.0
206,5.1,tt0101296,5.5,5.3,4.4,5.1,4.5,70.0,86.0
4073,6.0,tt0101301,6.1,5.9,5.9,5.6,6.5,1201.0,1626.0
