imdb_title_id,total_votes,weighted_average_vote,allgenders_18age_avg_vote,allgenders_30age_avg_vote,allgenders_45age_avg_vote,males_allages_avg_vote,females_allages_avg_vote,us_voters_votes,non_us_voters_votes
tt0342167,5461,6.2,6,6,6.5,6.2,6.1,2702,1295
tt0342207,419,4.3,4.5,4.3,4.1,4.3,3.5,90,216
tt0342234,106,4.7,4,6.4,3,4.4,2.6,70,9
tt0342258,95229,7,7.2,7,6.8,7,7.1,15536,54403
tt0342272,9624,6.6,6.6,6.7,6.3,6.5,6.9,1093,6510
tt0342273,126,6.4,6,6.1,6.3,6.3,5.6,42,46
tt0342300,1055,6,7.7,6.1,5.8,5.9,6.3,566,221
tt0342316,690,5.9,6.9,5.7,5.9,5.9,5.7,219,284
tt0342329,111,6,7.9,6.6,3.1,5.8,6.9,7,80
tt0342419,127,6.5,6.6,6.8,5.3,6.3,6.7,12,73
tt0342492,18038,7.3,7.4,7.3,7.1,7.3,7.5,894,12056
tt0342505,391,3.3,2.6,3.1,3.4,3.3,2.5,80,240
tt0342508,2398,4.9,5.4,4.7,4.8,4.6,5.6,930,849
tt0342512,165,7.1,7.6,7.5,3.8,7.2,6.9,7,94
tt0342520,2824,6.4,6.5,6.4,6.3,6.4,6.6,51,2000
tt0342533,176,7.3,8.7,7.8,3.9,7.1,8,5,121
tt0342535,202,6.3,5.8,6.4,6,6.2,6.6,17,128
tt0342555,206,6.8,6,7,6.2,6.8,7.4,37,123
tt0342556,429,7,7,7.1,4.7,6.9,6.9,21,208
tt0342561,306,6.3,6.3,6.3,6.2,6.3,6.3,40,168
tt0342624,356,3.9,4.7,3.4,3.5,3.9,2.4,29,205
tt0342636,4026,7.2,7.2,7.3,7,7.3,7.1,320,2882
tt0342689,3189,2.8,3.2,2.6,3.4,2.7,3.3,376,2118
tt0342697,246,7,7.1,7,7,7.1,6.8,21,157
tt0342717,165,6.1,6.7,6.8,4.8,5.9,7,89,18
tt0342735,21344,7.3,7.4,7.4,7,7.3,7.4,2491,13481
tt0342771,1871,5.6,5.4,5.6,6,5.6,5.7,66,1301
tt0342777,167,5.6,5.3,6,5.6,5.7,5.5,5,125
tt0342778,1073,6.7,6.8,6.7,6.4,6.7,6.7,152,665
tt0342795,137,5.7,6.2,5.6,3,5.7,6.2,4,92
tt0342798,184,4.5,4.3,4.5,4.1,4.1,5.4,9,132
tt0342816,106,6.9,7.4,6.9,6.4,6.9,6.4,13,72
tt0342835,1076,3.3,2.9,3.3,3.5,3.3,3.2,307,479
tt0342844,779,6.9,6,7.1,6.9,6.9,7.2,26,569
tt0342853,145,6.1,6.3,5.8,6,6,6,6,98
tt0342882,1349,6.3,6.7,6.4,6.1,6.3,6.3,296,777
tt0342913,914,6.4,6.5,6.3,6.4,6.4,6.4,76,640
tt0342916,282,2.6,2,2.6,2.7,2.6,1.7,118,95
tt0342968,198,5.8,5.9,5.8,6.3,5.8,6.5,13,131
tt0343048,156,4.2,4.4,4.2,2.6,4.2,3.5,19,100
tt0343094,153,6.8,7.2,7,6.4,6.9,6.2,27,87
tt0343095,2684,5.7,5.8,5.7,5.8,5.8,5.6,746,1386
tt0343135,120236,5.9,6,5.9,6,6,5.8,25743,59951
tt0343172,929,6.5,6,6.4,6.7,6.5,6.8,540,146
tt0343221,4067,7.6,7.5,7.6,7.5,7.5,7.7,529,2660
tt0343422,431,7.6,7.6,7.9,5.7,7.5,8,6,249
tt0343426,1285,4.3,4.2,4.3,4.2,4.3,3.9,27,860
tt0343449,2147,4.4,4.4,4.2,4.7,4.4,4.2,588,1016
tt0343502,108,6.4,6.2,6.8,4.9,6.4,5.6,11,64
tt0343524,688,6.7,7,6.9,6.4,6.7,6.8,93,452
tt0343594,869,6.6,6.5,6.7,6.4,6.5,6.8,312,324
tt0343603,107,3.1,2.2,3.4,2.7,3.3,1.4,21,63
tt0343624,317,6.5,5.7,6.5,6.4,6.5,6.4,8,217
tt0343660,309398,6.8,6.8,6.8,6.8,6.8,6.9,55827,147711
tt0343663,5827,6,6.3,6,5.8,6,6.1,1102,3365
tt0343737,95311,6.7,6.6,6.6,6.8,6.7,6.5,24212,49393
tt0343818,473667,7.1,7.1,7,7,7.1,7,73254,225565
tt0343962,307,4.3,4.6,4.2,4.2,4.2,3.7,99,133
tt0343967,204,6.6,7.2,6.4,6.1,6.5,7.1,5,146
tt0343996,8950,6.6,6.7,6.6,6.5,6.6,6.8,2089,5014
tt0344011,629,6.1,5.3,6.1,6.4,6,6.6,13,433
tt0344053,146,5.6,4.5,5.5,6.3,5.5,7,12,96
tt0344065,185,5.2,5.2,5.2,4.3,5.1,5.4,10,129
tt0344204,141,5.2,5.3,4.5,5.1,4.9,5.5,12,91
tt0344273,3541,7.1,7.4,7.2,6.7,7.1,7.1,711,2131
tt0344290,186,4.7,4.4,4.8,3.8,4.7,4.2,22,110
tt0344337,150,6.8,6.8,6.8,6.7,6.6,6.6,44,67
tt0344352,322,5.3,4.9,5.2,5.1,5.2,5,24,213
tt0344426,134,6.1,5.9,6,5.6,6,6.3,4,99
tt0344435,135,3.8,3.6,3.9,3.3,3.7,5.1,7,85
tt0344510,68768,7.6,7.7,7.6,7.7,7.6,7.7,10574,41074
tt0344568,110,5.1,8,5.7,4.4,5.4,4,24,56
tt0344596,353,5.4,5.6,5.4,4.2,5.4,5.8,26,225
tt0344604,2936,6.5,6.7,6.5,6.4,6.5,6.6,547,1709
tt0344766,743,6.1,6.7,6.3,5.2,6,6.9,130,421
tt0344777,1297,4.2,4.1,3.9,4.6,4,4.8,468,496
tt0344854,31027,6,5.9,6,6.2,5.9,6.2,3880,16978
tt0344952,150,7.2,8.4,8,5.2,7.1,7.3,9,96
tt0345032,2194,7.1,7.1,7.1,7.2,7.1,7.4,365,1335
tt0345043,443,3.7,3.8,3.6,4.6,3.7,4,53,280
tt0345061,19464,6.2,5.9,6.2,6.2,6.2,6.4,3535,11349
tt0345074,7633,6.2,6.2,6.1,6.4,6,6.5,2372,3154
tt0345177,1053,8.4,8.6,8.3,6.2,8.4,8.1,78,533
tt0345185,1008,6.8,6.8,6.8,6.7,6.9,6.4,84,685
tt0345228,930,6.1,6.4,6,6,5.9,6.4,350,361
tt0345235,2083,4.7,5.2,4.6,4,4.7,5.2,138,1444
tt0345549,10584,7.6,7.6,7.6,7.3,7.6,7.4,2041,6263
tt0345551,16369,7,6.8,6.8,7.3,7,6.7,4542,7253
tt0345561,3755,6.4,6.8,6.1,6,6.4,6.3,65,2103
tt0345594,174,3.6,5,1.7,2.4,2.7,5.9,27,88
tt0345600,136,7.3,7.5,8.1,4.3,7.1,8,7,103
tt0345601,455,2.7,1.6,2.6,3.1,2.7,2.5,102,282
tt0345603,276,6.4,5.9,6.6,5.5,6.5,6.3,45,162
tt0345636,338,3.2,2.6,3.3,3.1,3,4.6,128,143
tt0345685,343,5.9,5.3,5.9,6.4,6,5.4,38,217
tt0345777,568,5.5,5.6,5.4,5.6,5.5,5.7,109,320
tt0345852,361,4.6,5.1,4.4,5,4.6,4.8,78,184
tt0345853,2910,6.3,6.2,6.2,6.4,6.2,6.3,124,2027
tt0345855,477,6.1,6.6,6,6.3,5.9,6.6,177,188
tt0345933,418,7.3,7.3,7.6,4.6,7.2,7.1,15,295
tt0345950,73118,7,7.1,6.9,6.7,7,6.9,15655,29745
tt0346054,134,3.4,2,3.3,3.7,3.3,3.2,3,101
tt0346094,16445,7.6,7.8,7.6,7.2,7.6,7.5,1341,10404
tt0346148,114,4.6,6.5,4.2,4.4,4.4,4.9,74,9
tt0346156,79505,6,6.1,5.9,6.2,6,5.9,18735,40085
tt0346180,158,5.5,5.1,5.5,5.5,5.4,7.3,4,107
tt0346336,19344,8.5,8.8,8.5,8.3,8.5,8.6,2718,11705
tt0346457,8876,6.6,6.9,6.3,7,6.5,7.4,790,4613
tt0346491,156462,5.6,5.9,5.5,5.5,5.6,5.6,23246,88169
tt0346507,2121,5.3,5.5,5,5.3,5.2,5.2,159,957
tt0346513,247,6,6.2,6,5.2,5.8,6.4,11,166
tt0346525,241,4.7,3,4.7,4.7,4.6,4.4,126,54
tt0346571,125,4.2,4.7,3.5,4.3,3.6,5.2,24,65
tt0346609,203,2.5,2.3,2.2,3.4,2.6,1.9,62,99
tt0346631,29847,6.7,6.9,6.6,6.5,6.7,6.5,3350,16796
tt0346647,157,5.4,7.3,4.9,5.8,5.4,4.9,58,56
tt0346681,382,5.1,4.9,5.1,5,5.1,5.3,19,267
tt0346723,13611,6.5,6.7,6.3,6.7,6.5,6.6,891,6629
tt0346732,100,6.7,7.2,6.9,5.6,6.6,7,2,71
tt0346750,420,6.1,4.4,5.9,6.3,5.6,6.4,203,83
tt0346765,562,6.7,6.2,6.9,6.6,6.6,7.4,47,377
tt0346800,1213,7,7.4,7.1,6.6,7.1,6.8,451,494
tt0346811,1356,2.8,2.8,2.5,3,2.7,2.7,427,615
tt0346887,129,6.5,5.5,6.8,6.1,6.5,6.3,18,82
tt0346898,269,5.7,7.1,5.8,5.1,5.7,6.6,39,157
tt0346900,213,5.7,6.1,5,5.6,5.3,6.3,3,123
tt0346904,202,3.7,3.8,3.9,3.6,3.7,5,53,103
tt0346909,207,5.7,6,5.7,5.3,5.6,5.8,24,135
tt0346947,334,7,7.9,7,6.7,7,7.4,43,211
tt0346971,146,4.1,10,4,4,4,4.3,70,48
tt0347014,536,5.6,5.1,5.7,5.3,5.6,5.4,155,228
tt0347016,1058,6.8,6.3,6.8,7,6.9,6.8,60,741
tt0347037,478,5.6,4.7,5.4,5.8,5.6,5.3,90,277
tt0347048,47952,7.9,7.9,8,7.8,7.9,8.1,3746,32044
